#gene_id	transcript_id	sprot_Top_BLASTX_hit	TrEMBL_Top_BLASTX_hit	RNAMMER	prot_id	prot_coords	sprot_Top_BLASTP_hit	TrEMBL_Top_BLASTP_hit	Pfam	SignalP	TmHMM	eggnog	gene_ontology_blast	gene_ontology_pfam	transcript	peptide
TRINITY_DN22310_c0_g1	TRINITY_DN22310_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22310_c1_g1	TRINITY_DN22310_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22310_c1_g2	TRINITY_DN22310_c1_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22387_c0_g1	TRINITY_DN22387_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22316_c0_g1	TRINITY_DN22316_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22378_c0_g1	TRINITY_DN22378_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22392_c0_g1	TRINITY_DN22392_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22311_c0_g1	TRINITY_DN22311_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22323_c0_g1	TRINITY_DN22323_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22384_c0_g1	TRINITY_DN22384_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22384_c0_g2	TRINITY_DN22384_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22365_c0_g1	TRINITY_DN22365_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22365_c1_g1	TRINITY_DN22365_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22365_c2_g1	TRINITY_DN22365_c2_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22388_c0_g1	TRINITY_DN22388_c0_g1_i1	.	.	.	TRINITY_DN22388_c0_g1_i1|m.1	1-489[-]	.	.	PF12662.2^cEGF^Complement Clr-like EGF-like^1-21^E:3.3e-06`PF07645.10^EGF_CA^Calcium-binding EGF domain^18-58^E:3.5e-08`PF07645.10^EGF_CA^Calcium-binding EGF domain^60-100^E:7.6e-09`PF07645.10^EGF_CA^Calcium-binding EGF domain^102-141^E:3.4e-12`PF12947.2^EGF_3^EGF domain^106-141^E:9e-10`PF00008.22^EGF^EGF-like domain^106-137^E:7.2e-06	.	.	.	.	GO:0005509^molecular_function^calcium ion binding`GO:0005515^molecular_function^protein binding	.	.
TRINITY_DN22304_c0_g1	TRINITY_DN22304_c0_g1_i1	.	.	.	TRINITY_DN22304_c0_g1_i1|m.2	1-570[+]	.	.	PF09011.5^HMG_box_2^HMG-box domain^92-155^E:4.8e-08`PF00505.14^HMG_box^HMG (high mobility group) box^96-163^E:5.3e-22	.	.	.	.	.	.	.
TRINITY_DN22327_c0_g1	TRINITY_DN22327_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22389_c0_g1	TRINITY_DN22389_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22345_c0_g1	TRINITY_DN22345_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22345_c0_g2	TRINITY_DN22345_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22345_c1_g1	TRINITY_DN22345_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22345_c2_g1	TRINITY_DN22345_c2_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22352_c0_g1	TRINITY_DN22352_c0_g1_i1	.	.	.	TRINITY_DN22352_c0_g1_i1|m.3	34-477[+]	.	.	PF00042.17^Globin^Globin^18-112^E:1.2e-26	.	.	.	.	GO:0005506^molecular_function^iron ion binding`GO:0020037^molecular_function^heme binding	.	.
TRINITY_DN22352_c0_g2	TRINITY_DN22352_c0_g2_i1	.	.	.	TRINITY_DN22352_c0_g2_i1|m.4	34-477[+]	.	.	PF00042.17^Globin^Globin^18-112^E:1.2e-26	.	.	.	.	GO:0005506^molecular_function^iron ion binding`GO:0020037^molecular_function^heme binding	.	.
TRINITY_DN22303_c0_g1	TRINITY_DN22303_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22303_c0_g2	TRINITY_DN22303_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22321_c0_g1	TRINITY_DN22321_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22321_c0_g2	TRINITY_DN22321_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22361_c0_g1	TRINITY_DN22361_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22361_c0_g2	TRINITY_DN22361_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22363_c0_g1	TRINITY_DN22363_c0_g1_i1	.	tr|I3JAB6|I3JAB6_ORENI^tr|I3JAB6|I3JAB6_ORENI^Q:2020-116	H:894-1533^68.59%ID^E:0^.^.	.	TRINITY_DN22363_c0_g1_i1|m.5	113-2023[-]	.	tr|I3JAB6|I3JAB6_ORENI^tr|I3JAB6|I3JAB6_ORENI^Q:2-636	H:894-1533^68.59%ID^E:0^.^.	PF00400.27^WD40^WD domain	 G-beta repeat^195-225^E:2.7e-05`PF00400.27^WD40^WD domain	 G-beta repeat^505-530^E:5e-05`PF11715.3^Nup160^Nucleoporin Nup120/160^507-543^E:0.00013	.	.	.	.	GO:0005515^molecular_function^protein binding	.	.
TRINITY_DN22353_c0_g1	TRINITY_DN22353_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22373_c0_g1	TRINITY_DN22373_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22313_c0_g1	TRINITY_DN22313_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22313_c0_g2	TRINITY_DN22313_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22377_c0_g1	TRINITY_DN22377_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22377_c1_g1	TRINITY_DN22377_c1_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22399_c0_g1	TRINITY_DN22399_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22371_c0_g1	TRINITY_DN22371_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22371_c0_g2	TRINITY_DN22371_c0_g2_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22307_c0_g1	TRINITY_DN22307_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN22301_c0_g1	TRINITY_DN22301_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
